,,,Life Expectancy,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Frequent Mental Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Food Insecurity,,Limited Access to Healthy Foods,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,Insufficient Sleep,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,High School Graduation,,Disconnected Youth,,,Reading Scores,,,,,Math Scores,,,,,School Segregation,School Funding Adequacy,,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Children Eligible for Free or Reduced Price Lunch,Residential Segregation - Black/White,Child Care Cost Burden,Child Care Centers,,Homicides,,,,,,,,,,,,,,,,,,Suicides,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,Juvenile Arrests,,,,Voter Turnout,Census Participation,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Broadband Access,,,,Population,% Below 18 Years of Age,% 65 and Older,% Non-Hispanic Black,,% American Indian or Alaska Native,,% Asian,,% Native Hawaiian or Other Pacific Islander,,% Hispanic,,% Non-Hispanic White,,% Not Proficient in English,,,,% Female,% Rural,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation Index,% Household Income Required for Child Care Expenses,# Child Care Centers,"Child Care Centers per 1,000 Children",Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,% Voter Turnout,% Census Participation,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,Population,% Less than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural Residents,% Rural,
01000,Alabama,,74.8,74.8,74.9,111.8,99.3,124.3,87.3,85.9,88.7,72.4,72.2,72.6,94.6,91.9,97.2,75.4,75.3,75.5,88086,500,496,503,227,197,257,169,152,186,618,610,625,219,205,234,475,471,479,2912,67,64,69,71,41,115,37,25,53,96,90,101,54,46,62,54,51,56,3240,8,8,8,,,,5,3,7,12,12,13,6,5,7,6,6,6,11,10,12,16,15,18,13,12,14,14158,342,711370,15,418731,9,2572,17,17,18,11,5,20,4,2,8,12,11,14,4,3,6,21,20,22,39,37,41,424832,15,14,16,39891,4,3,4,109,921:1,52809,91,8,8,9,2.9,3.3,2.5,2.4,3.2,2.7,3.5,2.3,2.5,3.0,0.28,10117,-3869,39279,52944,0.74,0.73,0.75,53990,53070,54910,52999,46797,59201,73277,66875,79679,37215,36589,37841,45455,43433,47477,63900,63354,64446,53,58,27,,6,11,11,11,,,,2,1,4,28,27,29,6,5,7,5,5,5,4043,16,16,17,17,,,,8,5,11,6,5,7,7,5,8,21,20,22,5451,22,22,23,7,4,13,6,3,8,32,31,34,8,6,10,20,19,20,6902,20,20,21,12,8,18,7,5,9,21,20,22,15,13,17,21,20,21,1897,6715,496000,,62.6,,214,1320571,69,69,70,216476,12,12,12,82,1561316,82,82,5039877,22.3,17.6,1336172,26.5,36007,0.7,78140,1.6,5485,0.1,241168,4.8,3269726,64.9,48318,1,1,1,51.4,1957932,41.0,
01001,Alabama,Autauga,76.6,75.8,77.3,,,,,,,73.9,72.1,75.8,94.1,74.0,114.2,77.0,76.2,77.8,836,427,397,457,,,,,,,540,462,618,,,,408,376,441,27,51,34,75,,,,,,,84,40,154,,,,46,27,73,30,7,5,10,,,,,,,,,,,,,,,,11,10,12,16,15,18,11,10,11,114,243,8070,15,7106,13,14,8,5,14,,,,,,,,,,,,,,,,38,36,39,4434,13,11,15,514,4,3,5,47,2111:1,676,87,,,,3.1,,2.6,,3.3,2.9,,2.4,2.9,3.1,0.05,8675,-2077,37338,54547,0.68,0.56,0.81,66444,58839,74049,,,,55492,2212,108772,41354,33022,49686,83022,58246,107798,70125,65936,74314,41,33,20,19,6,6,4,9,,,,,,,,,,,,,,,,52,18,13,23,19,,,,,,,,,,,,,,,,49,18,13,23,,,,,,,18,9,33,,,,19,13,25,74,19,15,24,,,,,,,22,13,35,,,,19,14,24,5,45,6200,8,66.2,68.8,152,16227,74,72,77,2662,13,10,16,85,18679,84,87,59095,23.4,16.0,12251,20.7,271,0.5,711,1.2,70,0.1,1966,3.3,42817,72.5,127,0,0,1,51.4,22921,42.0,
01003,Alabama,Baldwin,77.7,77.3,78.1,104.6,67.6,141.6,82.5,79.3,85.8,73.8,72.4,75.1,86.6,82.1,91.2,77.8,77.4,78.2,3377,382,368,396,,,,,,,561,501,621,195,144,259,377,362,392,97,51,41,62,,,,,,,61,32,104,,,,52,41,65,84,5,4,7,,,,,,,,,,,,,,,,10,9,11,16,15,17,10,9,10,344,176,27070,12,14466,8,118,18,14,21,,,,,,,,,,,,,,,,35,33,37,17707,14,12,16,1897,4,3,5,74,1344:1,2333,88,8,5,11,3.2,,2.6,2.7,3.4,3.0,,2.3,2.7,3.2,0.09,10702,343,41155,55549,0.74,0.69,0.79,65658,59778,71538,44266,31579,56953,,,,39204,33743,44665,56232,43989,68475,70012,66402,73622,46,38,21,75,6,3,2,4,,,,,,,10,6,17,,,,3,2,4,214,20,17,22,20,,,,,,,,,,,,,,,,153,14,12,16,,,,,,,14,8,24,,,,15,12,17,252,17,15,19,,,,,,,19,12,27,,,,17,15,20,181,399,22400,26,65.3,56.4,133,67242,77,76,78,9224,11,10,12,88,76602,87,89,239294,21.2,21.5,20024,8.4,1915,0.8,2686,1.1,164,0.1,11586,4.8,198970,83.1,1634,1,1,1,51.3,77060,42.3,
01005,Alabama,Barbour,72.9,71.6,74.1,,,,,,,70.6,68.8,72.4,,,,75.1,73.5,76.8,539,590,537,642,,,,,,,695,610,780,,,,506,437,575,17,83,48,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,16,18,17,19,16,15,16,96,457,4870,20,2865,10,,,,,,,,,,,,,,,,,,,,44,43,45,2169,19,16,22,183,4,2,5,60,1664:1,331,85,,,,2.4,,2.1,2.1,2.8,2.0,,1.8,1.9,2.4,0.03,8966,-13560,31644,42995,0.74,0.63,0.85,38649,33477,43821,,,,,,,25100,22056,28144,30469,8468,52470,51858,44336,59380,59,21,28,7,5,11,7,17,,,,,,,,,,,,,,,,20,14,8,23,16,,,,,,,,,,,,,,,,32,26,17,36,,,,,,,25,14,41,,,,29,17,47,50,28,21,37,,,,,,,31,21,45,,,,22,13,34,5,52,2400,24,54.0,54.5,100,5654,62,59,65,853,10,8,13,65,5872,61,68,24964,20.5,20.0,11832,47.4,181,0.7,115,0.5,58,0.2,1238,5.0,11310,45.3,331,1,1,2,46.7,18613,67.8,
01007,Alabama,Bibb,73.6,72.4,74.8,,,,,,,72.3,69.6,75.0,,,,73.5,72.2,74.9,460,568,514,621,,,,,,,628,505,772,,,,573,511,634,15,82,46,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,17,16,18,12,12,13,41,216,3680,16,102,0,16,24,14,39,,,,,,,,,,,,,,,,40,39,41,1937,16,14,19,172,4,2,5,147,681:1,233,85,,,,2.7,,2.2,,2.8,2.6,,2.2,,2.7,0.09,10203,-2660,37816,45838,0.82,0.59,1.06,48454,41286,55622,,,,,,,22256,11929,32583,69457,28326,110588,61671,51623,71719,48,41,26,6,5,10,5,16,,,,,,,,,,,,,,,,18,17,10,28,16,,,,,,,,,,,,,,,,20,18,11,28,,,,,,,,,,,,,,,,41,26,19,35,,,,,,,29,14,54,,,,25,17,36,1-4,68,2100,,54.6,56.0,28,5580,79,73,84,639,9,5,13,75,5284,70,80,22477,20.1,16.7,4794,21.3,113,0.5,62,0.3,29,0.1,694,3.1,16535,73.6,94,0,0,1,46.0,15663,68.4,
01009,Alabama,Blount,74.2,73.4,74.9,,,,,,,,,,98.2,75.9,120.4,73.6,72.8,74.4,1143,533,501,565,,,,,,,612,369,956,207,130,313,555,520,589,38,71,50,98,,,,,,,,,,,,,,,,31,7,5,10,,,,,,,,,,,,,,,,12,11,13,17,16,19,11,10,12,37,76,7980,14,1440,3,31,18,12,25,,,,,,,,,,,,,,,,37,36,39,5607,17,14,19,606,4,3,6,34,2952:1,657,95,11,6,16,2.9,,,2.6,3.0,2.8,,,2.5,2.8,0.11,9228,-889,40210,46656,0.86,0.76,0.96,56894,51816,61972,,,,,,,36875,15692,58058,46518,28572,64464,53399,49148,57650,51,55,24,17,5,7,5,10,,,,,,,,,,,,,,,,61,21,16,27,21,,,,,,,,,,,,,,,,59,20,16,26,,,,,,,,,,,,,,,,124,31,25,36,,,,,,,,,,,,,,,,12,28,6200,6,64.2,66.7,44,16865,79,76,82,1659,8,6,10,81,17244,79,83,59041,23.1,18.7,964,1.6,390,0.7,238,0.4,73,0.1,5826,9.9,50970,86.3,957,2,1,2,50.2,51562,90.0,
01011,Alabama,Bullock,73.8,72.0,75.6,,,,,,,71.6,69.4,73.8,,,,79.0,76.0,82.0,203,556,477,636,,,,,,,667,561,773,,,,341,232,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,18,17,19,18,17,19,54,638,1620,16,3529,32,,,,,,,,,,,,,,,,,,,,46,45,47,730,16,13,19,56,3,2,4,68,1474:1,79,83,,,,2.1,,,,,2.0,,,,,0.01,10369,-15767,24186,35845,0.67,0.52,0.83,32027,27385,36669,,,,,,,21987,17987,25987,,,,70662,50363,90961,76,33,42,3,5,15,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,26,14,44,,,,,,,,,,,,,,,,36,50,35,69,,,,,,,,,,,,,,,,0,11,900,12,59.1,48.8,43,2220,65,58,72,555,19,11,26,59,2032,49,70,10320,21.3,17.6,7042,68.2,97,0.9,31,0.3,79,0.8,936,9.1,2197,21.3,130,1,0,3,44.6,5607,51.4,
01013,Alabama,Butler,73.5,72.1,74.9,,,,,,,71.9,69.9,74.0,,,,74.1,72.1,76.1,441,607,546,667,,,,,,,720,621,820,,,,554,473,635,14,80,44,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,18,17,19,14,13,15,56,340,3210,16,1449,7,,,,,,,,,,,,,,,,,,,,41,40,42,1841,17,14,20,158,4,2,5,95,1049:1,206,84,,,,2.5,,2.3,,3.0,2.1,,1.9,,2.6,0.11,9564,-9256,32166,38829,0.83,0.61,1.04,39442,34118,44766,51010,41902,60118,,,,32416,26569,38263,18105,7404,28806,57775,47545,68005,79,27,34,5,5,19,13,28,,,,,,,,,,,,,,,,13,14,7,24,13,,,,,,,,,,,,,,,,26,26,17,39,,,,,,,32,17,53,,,,22,11,39,53,38,29,50,,,,,,,34,21,52,,,,44,30,62,1-4,37,2000,,62.9,55.8,59,4728,72,70,75,528,9,6,12,76,4986,72,80,18884,22.6,21.2,8435,44.7,82,0.4,269,1.4,8,0.0,327,1.7,9560,50.6,12,0,0,1,53.4,14921,71.2,
01015,Alabama,Calhoun,72.8,72.3,73.3,,,,,,,72.8,71.5,74.0,90.5,76.1,104.9,72.5,71.9,73.1,2476,587,563,611,,,,,,,604,548,661,292,187,435,600,571,628,57,58,44,75,,,,,,,72,43,114,,,,52,36,73,71,8,6,10,,,,,,,14,9,19,,,,6,4,9,12,11,13,17,16,18,12,12,13,245,255,18430,16,18258,15,66,19,15,25,,,,,,,19,10,32,,,,21,16,27,38,37,40,10729,16,14,19,777,3,2,4,83,1208:1,1265,91,8,5,12,2.9,,2.5,2.6,3.2,2.8,,2.4,2.6,3.0,0.20,10213,-4113,37518,49496,0.76,0.70,0.82,48166,42581,53751,,,,,,,37866,31239,44493,46090,27214,64966,54818,51998,57638,57,45,22,37,6,10,8,13,,,,,,,21,15,29,,,,7,5,10,126,22,18,25,22,,,,,,,12,7,20,,,,24,20,29,149,26,22,30,,,,,,,27,19,38,,,,27,22,32,176,22,19,25,,,,,,,20,14,28,,,,24,20,28,153,212,11500,32,57.9,63.6,154,31441,71,69,73,4803,11,10,13,82,36131,80,84,115972,21.7,18.5,24706,21.3,623,0.5,1016,0.9,128,0.1,4915,4.2,82472,71.1,709,1,0,1,51.6,39955,33.7,
