FIPS,State,County,# of Ranked Counties,HealthOutcomesRank,HealthOutcomesQuartile,HealthFactorsRank,HealthFactorsQuartile
1000,Alabama,,67,,,,
1001,Alabama,Autauga,67,5,1,9,1
1003,Alabama,Baldwin,67,2,1,3,1
1005,Alabama,Barbour,67,52,4,62,4
1007,Alabama,Bibb,67,32,2,51,4
1009,Alabama,Blount,67,18,2,18,2
1011,Alabama,Bullock,67,54,4,63,4
1013,Alabama,Butler,67,50,3,56,4
1015,Alabama,Calhoun,67,23,2,22,2
1017,Alabama,Chambers,67,43,3,37,3
1019,Alabama,Cherokee,67,24,2,35,3
1021,Alabama,Chilton,67,21,2,36,3
1023,Alabama,Choctaw,67,48,3,42,3
1025,Alabama,Clarke,67,57,4,58,4
1027,Alabama,Clay,67,38,3,44,3
1029,Alabama,Cleburne,67,19,2,32,2
1031,Alabama,Coffee,67,10,1,13,1
1033,Alabama,Colbert,67,26,2,16,1
1035,Alabama,Conecuh,67,63,4,54,4
1037,Alabama,Coosa,67,55,4,28,2
1039,Alabama,Covington,67,42,3,33,2
1041,Alabama,Crenshaw,67,39,3,43,3
1043,Alabama,Cullman,67,11,1,14,1
1045,Alabama,Dale,67,16,1,21,2
1047,Alabama,Dallas,67,61,4,60,4
1049,Alabama,DeKalb,67,29,2,50,3
1051,Alabama,Elmore,67,8,1,10,1
1053,Alabama,Escambia,67,51,4,59,4
1055,Alabama,Etowah,67,33,2,24,2
1057,Alabama,Fayette,67,49,3,40,3
1059,Alabama,Franklin,67,30,2,46,3
1061,Alabama,Geneva,67,46,3,45,3
1063,Alabama,Greene,67,64,4,64,4
1065,Alabama,Hale,67,56,4,61,4
1067,Alabama,Henry,67,20,2,25,2
1069,Alabama,Houston,67,14,1,12,1
1071,Alabama,Jackson,67,37,3,26,2
1073,Alabama,Jefferson,67,22,2,6,1
1075,Alabama,Lamar,67,17,1,29,2
1077,Alabama,Lauderdale,67,7,1,7,1
1079,Alabama,Lawrence,67,41,3,38,3
1081,Alabama,Lee,67,3,1,4,1
1083,Alabama,Limestone,67,6,1,5,1
1085,Alabama,Lowndes,67,65,4,65,4
1087,Alabama,Macon,67,59,4,57,4
1089,Alabama,Madison,67,4,1,2,1
1091,Alabama,Marengo,67,58,4,41,3
1093,Alabama,Marion,67,36,3,27,2
1095,Alabama,Marshall,67,12,1,20,2
1097,Alabama,Mobile,67,28,2,23,2
1099,Alabama,Monroe,67,53,4,55,4
1101,Alabama,Montgomery,67,27,2,17,1
1103,Alabama,Morgan,67,15,1,15,1
1105,Alabama,Perry,67,66,4,66,4
1107,Alabama,Pickens,67,44,3,47,3
1109,Alabama,Pike,67,35,3,19,2
1111,Alabama,Randolph,67,25,2,48,3
1113,Alabama,Russell,67,40,3,30,2
1115,Alabama,St. Clair,67,9,1,11,1
1117,Alabama,Shelby,67,1,1,1,1
1119,Alabama,Sumter,67,62,4,52,4
1121,Alabama,Talladega,67,45,3,39,3
1123,Alabama,Tallapoosa,67,47,3,34,2
1125,Alabama,Tuscaloosa,67,13,1,8,1
1127,Alabama,Walker,67,60,4,31,2
1129,Alabama,Washington,67,31,2,53,4
1131,Alabama,Wilcox,67,67,4,67,4
1133,Alabama,Winston,67,34,2,49,3
2000,Alaska,,24,,,,
2013,Alaska,Aleutians East,24,NR,NR,NR,NR
2016,Alaska,Aleutians West,24,14,3,6,1
2020,Alaska,Anchorage,24,8,2,3,1
2050,Alaska,Bethel,24,22,4,23,4
2060,Alaska,Bristol Bay,24,NR,NR,NR,NR
2068,Alaska,Denali,24,NR,NR,NR,NR
2070,Alaska,Dillingham,24,20,4,18,3
2090,Alaska,Fairbanks North Star,24,7,2,4,1
2100,Alaska,Haines,24,13,3,12,2
2105,Alaska,Hoonah-Angoon,24,17,3,17,3
2110,Alaska,Juneau,24,4,1,1,1
2122,Alaska,Kenai Peninsula,24,5,1,10,2
2130,Alaska,Ketchikan Gateway,24,10,2,7,2
2150,Alaska,Kodiak Island,24,1,1,5,1
2158,Alaska,Kusilvak,24,24,4,24,4
2164,Alaska,Lake and Peninsula,24,15,3,19,4
2170,Alaska,Matanuska-Susitna,24,6,1,9,2
2180,Alaska,Nome,24,21,4,20,4
2185,Alaska,North Slope,24,11,2,16,3
2188,Alaska,Northwest Arctic,24,23,4,21,4
2195,Alaska,Petersburg,24,12,2,8,2
