,,,Premature Death,,,,,,,,,,,,,,,,,,,,,,,,,,Poor or Fair Health,,,,Poor Physical Health Days,,,,Poor Mental Health Days,,,,Low Birthweight,,,,,,,,,,,,,,,,,,,,Adult Smoking,,,,Adult Obesity,,,,Food Environment Index,,Physical Inactivity,,,,Access to Exercise Opportunities,,Excessive Drinking,,,,Alcohol-Impaired Driving Deaths,,,,,,Sexually Transmitted Infections,,,Teen Births,,,,,,,,,,,,,,,,,,,Uninsured,,,,,Primary Care Physicians,,,,Dentists,,,,Mental Health Providers,,,,Preventable Hospital Stays,,,,,,,Mammography Screening,,,,,,,Flu Vaccinations,,,,,,,High School Completion,,,,,,Some College,,,,,,Unemployment,,,,Children in Poverty,,,,,,,,,Income Inequality,,,,Children in Single-Parent Households,,,,,,Social Associations,,,Injury Deaths,,,,,,,,,,,,,,,,,,,,Air Pollution - Particulate Matter,,Drinking Water Violations,,Severe Housing Problems,,,,,,,,,,,,,Driving Alone to Work,,,,,,,,,,,,,,,,,,,Long Commute - Driving Alone,,,,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Quartile,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% Low Birthweight,95% CI - Low,95% CI - High,Quartile,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Adults Reporting Currently Smoking,95% CI - Low,95% CI - High,Quartile,% Adults with Obesity,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access to Exercise Opportunities,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Quartile,Preventable Hospitalization Rate,Quartile,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,Quartile,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Quartile,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Social Association Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Quartile,Presence of Water Violation,Quartile,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Quartile,% Drive Alone to Work,95% CI - Low,95% CI - High,Quartile,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile,
01000,Alabama,,,88086,10350,10246,10454,,5967,4840,7094,,3411,2945,3876,,13245,13023,13467,,5244,4901,5588,,9563,9439,9686,,19,18,20,,3.5,3.2,3.7,,5.1,4.7,5.4,,,10,10,11,,10,8,12,9,9,10,16,16,16,7,7,8,8,8,8,20,18,21,,39,37,41,,5.3,,28,26,30,,61,,16,15,18,,1255,4848,26,25,27,,27075,552.2,,28,27,28,,14,11,17,4,3,5,34,33,35,52,50,54,23,23,23,460936,12,11,12,,3238,66,1520:1,,2454,49,2054:1,,6321,125,797:1,,3599,,7955,2049,4725,3084,3358,36,,34,30,36,27,37,44,,29,45,33,34,46,2983756,3413803,87,87,88,,776360,1262357,62,61,62,,77275,2247001,3.4,,23,22,24,,23,12,38,37,12,112484,21729,5.2,,346161,1119928,31,30,32,,5862,11.9,,21249,87,86,88,,37,28,48,28,23,33,86,84,88,43,39,46,92,91,94,9.3,,,,13,13,13,11,11,12,2,2,2,1,1,1,,84,83,84,,76,70,81,75,73,76,83,82,84,75,73,76,85,85,85,2146674,35,35,35,,
01001,Alabama,Autauga,,836,8027,7198,8857,1,,,,,,,,,11549,9369,13728,,,,,,7333,6411,8254,,17,15,19,1,3.4,3.1,3.7,1,4.8,4.5,5.1,1,,10,9,11,2,,,,,,,14,12,17,,,,8,7,9,18,15,21,1,37,36,39,1,6.6,3,26,24,29,1,56,2,17,16,17,4,18,56,32,25,39,3,315,563.8,3,23,20,26,1,,,,,,,29,23,37,,,,22,19,25,4902,11,9,12,1,25,45,2246:1,2,19,32,3110:1,2,21,36,2814:1,3,4372,4,,15789,7325,,3824,38,1,,33,31,20,40,42,2,,25,35,29,43,35488,39614,90,88,91,1,9048,15178,60,53,66,1,742,26341,2.8,2,16,11,22,1,,10,41,19,11,114380,23857,4.8,2,3694,13801,27,20,33,2,71,12.6,2,191,69,59,78,1,,,,,,,63,44,87,,,,73,61,84,10.0,4,No,1,14,12,17,13,10,15,1,0,2,2,1,3,4,86,84,89,3,,,,,,,81,73,90,,,,83,78,88,26458,42,36,47,3,
01003,Alabama,Baldwin,,3377,8118,7667,8570,1,,,,,,,,,11603,9971,13235,,4591,3232,6327,,8059,7555,8562,,15,13,17,1,3.3,3.0,3.6,1,4.8,4.5,5.1,1,,8,8,9,1,,,,9,5,13,15,13,17,6,5,8,8,7,8,17,14,20,1,33,31,34,1,7.5,1,23,20,26,1,66,1,19,18,20,4,57,177,32,28,36,3,786,352.1,2,24,22,25,1,,,,,,,31,26,35,42,34,50,22,21,24,19391,11,9,12,1,150,65,1529:1,1,114,48,2099:1,1,250,104,957:1,2,2864,1,,2048,4455,893,2789,39,1,38,33,31,30,39,47,1,39,47,35,37,48,147422,161977,91,90,92,1,34799,52642,66,62,70,1,2946,99427,3.0,2,16,12,20,1,73,8,26,28,7,126028,29304,4.3,1,9151,48938,19,16,22,1,220,9.6,3,817,75,70,80,1,,,,,,,63,49,81,26,14,44,80,74,86,7.6,1,Yes,4,12,11,14,11,9,12,1,1,2,1,0,1,3,81,80,83,1,,,,,,,83,70,96,58,49,67,80,79,82,102650,38,35,40,2,
01005,Alabama,Barbour,,539,12877,11150,14604,4,,,,,,,,,15534,12931,18136,,,,,,9950,7691,12209,,28,25,30,4,4.6,4.3,4.9,4,5.0,4.7,5.2,1,,12,10,13,3,,,,,,,16,14,18,,,,7,5,9,26,23,29,4,46,45,48,4,5.8,4,36,33,38,4,55,2,13,13,14,1,12,32,38,28,46,4,155,627.9,3,35,29,40,3,,,,,,,34,28,42,77,45,123,30,23,39,2337,14,12,17,4,8,33,3074:1,3,8,32,3121:1,2,6,24,4161:1,4,3559,2,,,4796,,2957,41,1,,,46,,40,40,2,,,34,,42,13617,17995,76,73,78,4,2605,6744,39,33,45,4,469,8197,5.7,4,35,23,47,4,,,58,67,14,79460,15338,5.2,3,2845,5261,54,47,61,4,23,9.4,3,103,82,66,98,1,,,,,,,82,61,108,,,,86,64,114,9.4,3,Yes,4,16,13,19,13,11,16,4,2,6,1,0,1,4,83,80,86,2,,,,,,,79,73,86,,,,84,81,88,8461,37,31,42,2,
01007,Alabama,Bibb,,460,11191,9626,12757,2,,,,,,,,,11737,8711,15474,,,,,,11369,9516,13222,,22,20,24,3,4.0,3.7,4.3,3,5.4,5.1,5.6,2,,10,9,11,2,,,,,,,17,13,21,,,,8,7,10,23,20,25,3,38,37,40,2,7.4,1,32,29,34,3,18,4,16,15,17,3,6,28,21,12,32,1,123,549.3,3,34,28,40,3,,,,,,,24,14,38,,,,36,29,43,2097,13,11,15,3,14,63,1581:1,1,6,27,3746:1,3,9,40,2497:1,3,4856,4,,,3754,,4542,31,3,,,24,,32,34,4,,,23,,35,12932,16057,81,77,84,4,2358,6396,37,29,45,4,298,8560,3.5,3,29,22,36,3,,,51,18,22,95705,19008,5.0,2,1345,4568,29,20,39,2,20,9.0,3,116,103,85,122,4,,,,,,,95,60,142,,,,109,88,134,9.8,4,No,1,11,7,15,8,4,12,1,0,2,2,0,4,2,87,82,92,4,,,,,,,,,,,,,,,,7994,55,46,64,4,
01009,Alabama,Blount,,1143,10787,9825,11749,2,,,,,,,,,,,,,,,,,,,,,18,16,21,1,3.9,3.5,4.2,2,5.4,5.0,5.7,3,,8,7,9,1,,,,,,,,,,8,6,10,8,7,9,22,19,25,2,33,31,34,1,7.8,1,29,26,31,1,41,3,16,15,17,3,14,93,15,10,21,1,168,290.5,1,30,26,33,2,,,,,,,,,,31,23,41,30,26,33,6156,13,11,15,3,12,21,4823:1,4,10,17,5904:1,4,12,20,4920:1,4,3010,1,,,,,,32,3,,,25,14,32,42,2,,,26,25,43,34018,40668,84,82,85,2,8045,14169,57,51,63,2,598,25127,2.4,1,17,11,22,1,,,21,37,14,107757,22432,4.8,2,3030,13661,22,16,28,1,39,6.7,4,303,105,93,117,4,,,,,,,,,,40,20,72,113,100,126,9.6,4,No,1,10,8,12,7,6,9,2,1,3,1,1,2,1,86,84,88,3,,,,,,,,,,83,31,100,82,80,84,23918,60,54,65,4,
01011,Alabama,Bullock,,203,11406,9005,13808,2,,,,,,,,,,,,,,,,,,,,,30,27,33,4,4.7,4.4,5.0,4,5.1,4.9,5.4,1,,15,13,17,4,,,,,,,18,15,21,8,3,12,,,,26,23,28,4,48,47,50,4,4.3,4,40,37,42,4,3,4,13,12,13,1,8,23,35,24,46,4,79,782.1,4,40,32,51,4,,,,,,,40,30,52,73,39,124,,,,782,12,10,15,2,3,30,3325:1,3,2,19,5160:1,4,2,19,5160:1,4,3047,1,,,2346,,3063,35,2,,,25,,51,32,4,,,28,,36,5337,6877,78,70,85,4,872,2455,36,23,48,4,184,4606,4.0,3,42,29,55,4,,,57,59,,71823,11447,6.3,4,1557,2301,68,60,75,4,7,7.0,4,50,98,73,130,3,,,,,,,107,76,147,,,,100,50,179,9.3,2,No,1,13,7,19,13,7,19,0,0,1,1,0,3,3,84,76,92,2,,,,,,,84,71,97,,,,82,71,93,3756,49,32,67,4,
01013,Alabama,Butler,,441,12717,10845,14589,4,,,,,,,,,14141,11401,16881,,,,,,12183,9437,14930,,23,21,25,4,4.2,3.9,4.5,3,5.2,5.0,5.5,2,,13,11,14,4,,,,,,,16,13,18,,,,9,7,11,22,20,25,3,45,44,47,4,6.8,2,32,30,35,4,45,3,14,13,14,1,19,54,35,28,42,4,154,791.9,4,39,33,45,4,,,,,,,39,32,48,,,,40,31,51,1985,13,11,16,3,4,21,4876:1,4,7,37,2698:1,2,16,85,1180:1,2,4201,4,,,4944,,3664,33,3,,,40,,29,34,4,,,30,,35,11452,13384,86,83,88,2,1897,4615,41,33,49,4,468,8796,5.3,4,34,23,45,4,,,42,31,13,97534,18281,5.3,3,1450,4365,33,26,41,3,18,9.2,3,104,106,85,126,4,,,,,,,111,82,146,,,,106,79,138,9.1,2,No,1,12,9,14,9,7,12,2,1,3,1,0,2,2,87,83,90,4,,,,,,,83,77,90,,,,87,82,91,7473,35,30,40,2,
01015,Alabama,Calhoun,,2476,11826,11114,12538,3,,,,,,,,,12233,10678,13787,,,,,,12018,11174,12861,,20,18,22,2,3.8,3.5,4.1,2,4.9,4.6,5.1,1,,9,9,10,2,,,,,,,15,13,16,7,4,9,8,7,8,21,18,24,2,37,36,39,1,6.0,4,28,26,31,1,65,1,16,16,17,3,16,112,14,10,19,1,511,449.8,2,30,28,33,2,,,,,,,31,27,34,38,28,50,30,28,33,11431,13,11,15,3,68,60,1669:1,1,76,66,1526:1,1,173,149,670:1,1,3722,3,,,4368,2950,3665,30,4,,52,35,28,29,39,3,,48,30,33,41,68396,80263,85,84,87,2,16042,29150,55,51,59,2,1906,46118,4.1,3,25,19,31,2,,13,34,29,15,97183,20163,4.8,2,7608,25246,30,27,34,2,152,13.4,1,528,93,85,100,2,,,,,,,74,60,91,45,22,83,102,92,112,9.7,4,No,1,12,11,13,10,9,11,2,1,2,1,0,1,3,85,83,87,2,,,,,,,86,83,90,90,81,98,87,85,89,48508,30,27,33,1,
