FIPS,State,County,# of Ranked Counties,LengthofLifeRank,LengthofLifeQuartile,QualityofLifeRank,QualityofLifeQuartile,HealthBehaviorsRank,HealthBehaviorsQuartile,ClinicalCareRank,ClinicalCareQuartile,SocialEconomicFactorsRank,SocialEconomicFactorsQuartile,PhysicalEnvironmentRank,PhysicalEnvironmentQuartile
1000,Alabama,,67,,,,,,,,,,,,
1001,Alabama,Autauga,67,4,1,4,1,9,1,17,1,6,1,59,4
1003,Alabama,Baldwin,67,5,1,2,1,4,1,4,1,4,1,27,2
1005,Alabama,Barbour,67,52,4,52,4,63,4,43,3,60,4,66,4
1007,Alabama,Bibb,67,31,2,32,2,41,3,56,4,51,4,51,4
1009,Alabama,Blount,67,24,2,13,1,11,1,42,3,19,2,44,3
1011,Alabama,Bullock,67,34,2,63,4,64,4,39,3,64,4,40,3
1013,Alabama,Butler,67,51,4,50,3,58,4,58,4,56,4,26,2
1015,Alabama,Calhoun,67,40,3,11,1,14,1,30,2,26,2,33,2
1017,Alabama,Chambers,67,29,2,51,4,39,3,36,3,31,2,57,4
1019,Alabama,Cherokee,67,33,2,19,2,37,3,41,3,35,3,25,2
1021,Alabama,Chilton,67,16,1,24,2,34,2,59,4,20,2,53,4
1023,Alabama,Choctaw,67,44,3,47,3,50,3,15,1,50,3,20,2
1025,Alabama,Clarke,67,57,4,55,4,56,4,53,4,55,4,67,4
1027,Alabama,Clay,67,48,3,23,2,42,3,62,4,42,3,3,1
1029,Alabama,Cleburne,67,20,2,17,1,25,2,51,4,30,2,31,2
1031,Alabama,Coffee,67,10,1,20,2,19,2,32,2,9,1,15,1
1033,Alabama,Colbert,67,30,2,26,2,15,1,13,1,14,1,41,3
1035,Alabama,Conecuh,67,63,4,61,4,52,4,61,4,53,4,17,1
1037,Alabama,Coosa,67,55,4,54,4,44,3,10,1,38,3,14,1
1039,Alabama,Covington,67,43,3,37,3,38,3,44,3,29,2,35,3
1041,Alabama,Crenshaw,67,42,3,33,2,54,4,40,3,47,3,4,1
1043,Alabama,Cullman,67,21,2,7,1,17,1,22,2,13,1,23,2
1045,Alabama,Dale,67,17,1,16,1,22,2,47,3,18,2,11,1
1047,Alabama,Dallas,67,61,4,60,4,59,4,29,2,62,4,56,4
1049,Alabama,DeKalb,67,26,2,36,3,46,3,66,4,44,3,2,1
1051,Alabama,Elmore,67,9,1,15,1,7,1,25,2,7,1,52,4
1053,Alabama,Escambia,67,53,4,46,3,60,4,63,4,54,4,32,2
1055,Alabama,Etowah,67,45,3,21,2,18,2,50,3,24,2,12,1
1057,Alabama,Fayette,67,47,3,44,3,47,3,14,1,41,3,63,4
1059,Alabama,Franklin,67,27,2,35,3,36,3,65,4,39,3,6,1
1061,Alabama,Geneva,67,50,3,38,3,53,4,57,4,32,2,29,2
1063,Alabama,Greene,67,59,4,67,4,67,4,46,3,63,4,19,2
1065,Alabama,Hale,67,54,4,57,4,62,4,52,4,59,4,62,4
1067,Alabama,Henry,67,14,1,27,2,29,2,26,2,28,2,18,2
1069,Alabama,Houston,67,11,1,25,2,21,2,9,1,16,1,10,1
1071,Alabama,Jackson,67,32,2,40,3,26,2,11,1,34,2,50,3
1073,Alabama,Jefferson,67,36,3,14,1,5,1,1,1,15,1,58,4
1075,Alabama,Lamar,67,13,1,22,2,32,2,28,2,37,3,24,2
1077,Alabama,Lauderdale,67,7,1,12,1,8,1,7,1,10,1,7,1
1079,Alabama,Lawrence,67,49,3,28,2,31,2,64,4,23,2,30,2
1081,Alabama,Lee,67,2,1,6,1,3,1,6,1,5,1,54,4
1083,Alabama,Limestone,67,3,1,5,1,6,1,12,1,3,1,16,1
1085,Alabama,Lowndes,67,66,4,65,4,61,4,45,3,66,4,60,4
1087,Alabama,Macon,67,58,4,58,4,48,3,37,3,61,4,47,3
1089,Alabama,Madison,67,6,1,3,1,2,1,2,1,2,1,1,1
1091,Alabama,Marengo,67,62,4,48,3,28,2,27,2,48,3,64,4
1093,Alabama,Marion,67,41,3,31,2,35,3,54,4,21,2,13,1
1095,Alabama,Marshall,67,18,2,9,1,24,2,33,2,17,1,22,2
1097,Alabama,Mobile,67,28,2,34,2,27,2,16,1,25,2,21,2
1099,Alabama,Monroe,67,56,4,49,3,55,4,35,3,58,4,45,3
1101,Alabama,Montgomery,67,19,2,39,3,23,2,5,1,27,2,28,2
1103,Alabama,Morgan,67,25,2,8,1,16,1,38,3,11,1,8,1
1105,Alabama,Perry,67,65,4,66,4,66,4,49,3,65,4,48,3
1107,Alabama,Pickens,67,22,2,59,4,49,3,31,2,49,3,39,3
1109,Alabama,Pike,67,39,3,29,2,13,1,18,2,22,2,34,2
1111,Alabama,Randolph,67,38,3,18,2,51,4,48,3,43,3,42,3
1113,Alabama,Russell,67,37,3,42,3,30,2,20,2,33,2,55,4
1115,Alabama,St. Clair,67,12,1,10,1,10,1,24,2,12,1,49,3
1117,Alabama,Shelby,67,1,1,1,1,1,1,3,1,1,1,65,4
1119,Alabama,Sumter,67,60,4,62,4,57,4,23,2,57,4,36,3
1121,Alabama,Talladega,67,46,3,41,3,40,3,34,2,45,3,43,3
1123,Alabama,Tallapoosa,67,35,3,56,4,20,2,19,2,46,3,46,3
1125,Alabama,Tuscaloosa,67,8,1,30,2,12,1,8,1,8,1,9,1
1127,Alabama,Walker,67,64,4,53,4,33,2,21,2,40,3,38,3
1129,Alabama,Washington,67,15,1,45,3,45,3,60,4,52,4,37,3
1131,Alabama,Wilcox,67,67,4,64,4,65,4,55,4,67,4,61,4
1133,Alabama,Winston,67,23,2,43,3,43,3,67,4,36,3,5,1
2000,Alaska,,24,,,,,,,,,,,,
2013,Alaska,Aleutians East,24,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016,Alaska,Aleutians West,24,12,2,10,2,5,1,19,4,4,1,2,1
2020,Alaska,Anchorage,24,8,2,11,2,2,1,5,1,6,1,21,4
2050,Alaska,Bethel,24,21,4,22,4,23,4,24,4,22,4,20,4
2060,Alaska,Bristol Bay,24,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2068,Alaska,Denali,24,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2070,Alaska,Dillingham,24,23,4,20,4,20,4,10,2,20,4,7,2
2090,Alaska,Fairbanks North Star,24,5,1,13,3,6,1,2,1,3,1,24,4
2100,Alaska,Haines,24,12,2,9,2,11,2,4,1,13,3,14,3
2105,Alaska,Hoonah-Angoon,24,12,2,16,3,16,3,18,3,17,3,5,1
2110,Alaska,Juneau,24,4,1,3,1,1,1,1,1,1,1,1,1
2122,Alaska,Kenai Peninsula,24,7,2,5,1,8,2,11,2,11,2,22,4
2130,Alaska,Ketchikan Gateway,24,2,1,18,3,7,2,6,1,9,2,18,3
2150,Alaska,Kodiak Island,24,1,1,2,1,3,1,8,2,5,1,12,2
2158,Alaska,Kusilvak,24,24,4,24,4,24,4,21,4,24,4,17,3
2164,Alaska,Lake and Peninsula,24,12,2,12,2,17,3,23,4,19,4,10,2
2170,Alaska,Matanuska-Susitna,24,6,1,7,2,10,2,7,2,10,2,23,4
2180,Alaska,Nome,24,22,4,21,4,21,4,22,4,18,3,15,3
2185,Alaska,North Slope,24,11,2,15,3,18,3,14,3,14,3,4,1
2188,Alaska,Northwest Arctic,24,20,4,23,4,22,4,16,3,21,4,11,2
2195,Alaska,Petersburg,24,12,2,8,2,13,3,9,2,8,2,3,1
2198,Alaska,Prince of Wales-Hyder,24,18,3,17,3,15,3,17,3,15,3,8,2
2220,Alaska,Sitka,24,3,1,4,1,4,1,3,1,2,1,13,3
2230,Alaska,Skagway,24,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2240,Alaska,Southeast Fairbanks,24,9,2,1,1,9,2,15,3,12,2,9,2
2261,Alaska,Valdez-Cordova,24,10,2,6,1,14,3,12,2,7,2,16,3
2275,Alaska,Wrangell,24,12,2,14,3,12,2,13,3,16,3,6,1
2282,Alaska,Yakutat,24,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2290,Alaska,Yukon-Koyukuk,24,19,4,19,4,19,4,20,4,23,4,19,4
4000,Arizona,,15,,,,,,,,,,,,
4001,Arizona,Apache,15,15,4,15,4,15,4,14,4,15,4,14,4
4003,Arizona,Cochise,15,5,2,8,2,6,2,6,2,7,2,6,2
4005,Arizona,Coconino,15,10,3,11,3,4,1,5,2,4,1,3,1
4007,Arizona,Gila,15,12,4,14,4,11,3,7,2,9,3,8,2
4009,Arizona,Graham,15,9,3,12,4,10,3,8,2,8,2,2,1
4011,Arizona,Greenlee,15,4,1,7,2,7,2,4,1,1,1,1,1
4012,Arizona,La Paz,15,13,4,10,3,13,4,15,4,13,4,4,1
4013,Arizona,Maricopa,15,2,1,1,1,2,1,3,1,2,1,11,3
4015,Arizona,Mohave,15,11,3,9,3,12,4,10,3,10,3,9,3
4017,Arizona,Navajo,15,14,4,13,4,14,4,11,3,12,4,12,4
4019,Arizona,Pima,15,7,2,6,2,3,1,1,1,6,2,5,2
4021,Arizona,Pinal,15,3,1,4,1,8,2,9,3,5,2,15,4
4023,Arizona,Santa Cruz,15,1,1,5,2,5,2,12,4,11,3,10,3
4025,Arizona,Yavapai,15,8,2,3,1,1,1,2,1,3,1,7,2
4027,Arizona,Yuma,15,6,2,2,1,9,3,13,4,14,4,13,4
5000,Arkansas,,75,,,,,,,,,,,,
5001,Arkansas,Arkansas,75,55,3,37,2,47,3,26,2,25,2,48,3
5003,Arkansas,Ashley,75,49,3,65,4,63,4,69,4,67,4,58,4
5005,Arkansas,Baxter,75,25,2,7,1,12,1,4,1,10,1,2,1
5007,Arkansas,Benton,75,1,1,1,1,1,1,5,1,1,1,52,3
5009,Arkansas,Boone,75,17,1,9,1,17,1,10,1,5,1,3,1
5011,Arkansas,Bradley,75,70,4,54,3,37,2,61,4,55,3,51,3
5013,Arkansas,Calhoun,75,61,4,21,2,28,2,50,3,29,2,42,3
5015,Arkansas,Carroll,75,32,2,5,1,10,1,49,3,30,2,15,1
5017,Arkansas,Chicot,75,68,4,74,4,73,4,52,3,73,4,64,4
5019,Arkansas,Clark,75,9,1,23,2,22,2,8,1,15,1,60,4
5021,Arkansas,Clay,75,52,3,44,3,51,3,51,3,41,3,19,1
5023,Arkansas,Cleburne,75,45,3,20,2,24,2,11,1,42,3,9,1
5025,Arkansas,Cleveland,75,23,2,40,3,26,2,22,2,24,2,36,2
5027,Arkansas,Columbia,75,40,3,58,4,39,3,25,2,50,3,75,4
5029,Arkansas,Conway,75,26,2,41,3,53,3,21,2,27,2,31,2
5031,Arkansas,Craighead,75,10,1,31,2,18,1,2,1,9,1,32,2
5033,Arkansas,Crawford,75,6,1,34,2,25,2,41,3,13,1,73,4
5035,Arkansas,Crittenden,75,66,4,69,4,61,4,12,1,62,4,27,2
5037,Arkansas,Cross,75,64,4,55,3,44,3,67,4,49,3,10,1
5039,Arkansas,Dallas,75,59,4,59,4,41,3,58,4,38,2,30,2
5041,Arkansas,Desha,75,65,4,75,4,71,4,64,4,66,4,21,2
5043,Arkansas,Drew,75,48,3,45,3,38,2,60,4,31,2,35,2
5045,Arkansas,Faulkner,75,5,1,6,1,4,1,6,1,3,1,72,4
5047,Arkansas,Franklin,75,50,3,50,3,29,2,31,2,21,2,69,4
5049,Arkansas,Fulton,75,30,2,53,3,48,3,68,4,34,2,29,2
5051,Arkansas,Garland,75,53,3,14,1,6,1,7,1,36,2,25,2
5053,Arkansas,Grant,75,8,1,10,1,7,1,29,2,7,1,57,4
5055,Arkansas,Greene,75,16,1,27,2,27,2,16,1,11,1,18,1
5057,Arkansas,Hempstead,75,27,2,56,3,58,4,63,4,28,2,70,4
5059,Arkansas,Hot Spring,75,35,2,19,1,31,2,30,2,39,3,37,2
5061,Arkansas,Howard,75,41,3,36,2,56,3,43,3,14,1,46,3
5063,Arkansas,Independence,75,14,1,35,2,16,1,17,1,12,1,13,1
5065,Arkansas,Izard,75,54,3,26,2,45,3,44,3,53,3,1,1
5067,Arkansas,Jackson,75,58,4,67,4,68,4,56,3,58,4,5,1
5069,Arkansas,Jefferson,75,67,4,62,4,49,3,15,1,64,4,65,4
5071,Arkansas,Johnson,75,29,2,33,2,35,2,55,3,48,3,17,1
5073,Arkansas,Lafayette,75,34,2,64,4,70,4,70,4,68,4,55,3
5075,Arkansas,Lawrence,75,57,4,49,3,46,3,45,3,52,3,50,3
5077,Arkansas,Lee,75,72,4,73,4,75,4,39,3,74,4,41,3
5079,Arkansas,Lincoln,75,37,2,39,3,60,4,57,4,61,4,54,3
5081,Arkansas,Little River,75,44,3,29,2,20,2,42,3,33,2,68,4
5083,Arkansas,Logan,75,39,3,43,3,59,4,48,3,17,1,45,3
5085,Arkansas,Lonoke,75,18,1,3,1,8,1,14,1,6,1,74,4
5087,Arkansas,Madison,75,13,1,18,1,43,3,53,3,40,3,26,2
5089,Arkansas,Marion,75,38,2,32,2,23,2,33,2,43,3,4,1
5091,Arkansas,Miller,75,51,3,52,3,34,2,19,1,47,3,61,4
5093,Arkansas,Mississippi,75,73,4,68,4,67,4,46,3,71,4,56,3
5095,Arkansas,Monroe,75,74,4,70,4,69,4,32,2,72,4,28,2
5097,Arkansas,Montgomery,75,33,2,15,1,30,2,73,4,63,4,24,2
5099,Arkansas,Nevada,75,28,2,60,4,52,3,34,2,46,3,59,4
5101,Arkansas,Newton,75,46,3,4,1,9,1,18,1,32,2,47,3
5103,Arkansas,Ouachita,75,60,4,61,4,64,4,9,1,26,2,66,4
5105,Arkansas,Perry,75,7,1,12,1,15,1,23,2,20,2,53,3
5107,Arkansas,Phillips,75,74,4,72,4,72,4,37,2,75,4,38,2
5109,Arkansas,Pike,75,12,1,13,1,13,1,71,4,22,2,14,1
5111,Arkansas,Poinsett,75,71,4,66,4,66,4,35,2,57,4,23,2
5113,Arkansas,Polk,75,36,2,25,2,40,3,62,4,37,2,33,2
5115,Arkansas,Pope,75,4,1,30,2,19,1,27,2,19,1,39,3
5117,Arkansas,Prairie,75,56,3,24,2,21,2,65,4,8,1,44,3
5119,Arkansas,Pulaski,75,31,2,16,1,5,1,1,1,18,1,62,4
5121,Arkansas,Randolph,75,42,3,47,3,50,3,54,3,35,2,16,1
5123,Arkansas,St. Francis,75,47,3,71,4,74,4,38,2,70,4,40,3
5125,Arkansas,Saline,75,3,1,2,1,2,1,20,2,2,1,49,3
5127,Arkansas,Scott,75,63,4,51,3,55,3,66,4,45,3,20,2
5129,Arkansas,Searcy,75,43,3,48,3,65,4,36,2,65,4,7,1
5131,Arkansas,Sebastian,75,24,2,11,1,11,1,3,1,16,1,67,4
5133,Arkansas,Sevier,75,19,1,17,1,42,3,72,4,60,4,22,2
5135,Arkansas,Sharp,75,11,1,57,4,62,4,47,3,54,3,8,1
5137,Arkansas,Stone,75,21,2,63,4,57,4,40,3,59,4,11,1
5139,Arkansas,Union,75,69,4,42,3,33,2,24,2,51,3,71,4
5141,Arkansas,Van Buren,75,20,2,38,2,32,2,28,2,56,3,6,1
5143,Arkansas,Washington,75,2,1,8,1,3,1,13,1,4,1,34,2
5145,Arkansas,White,75,22,2,22,2,14,1,59,4,23,2,43,3
5147,Arkansas,Woodruff,75,62,4,46,3,54,3,74,4,69,4,12,1
5149,Arkansas,Yell,75,15,1,28,2,36,2,75,4,44,3,63,4
6000,California,,58,,,,,,,,,,,,
6001,California,Alameda,58,8,1,15,2,5,1,10,1,8,1,18,2
6003,California,Alpine,58,29,2,21,2,29,2,49,4,53,4,1,1
6005,California,Amador,58,28,2,18,2,30,3,16,2,23,2,36,3
6007,California,Butte,58,42,3,25,2,36,3,32,3,28,2,13,1
6009,California,Calaveras,58,43,3,22,2,24,2,23,2,26,2,31,3
6011,California,Colusa,58,27,2,32,3,35,3,58,4,54,4,32,3
6013,California,Contra Costa,58,13,1,11,1,7,1,13,1,13,1,35,3
6015,California,Del Norte,58,51,4,43,3,58,4,26,2,52,4,7,1
6017,California,El Dorado,58,19,2,17,2,14,1,12,1,6,1,12,1
6019,California,Fresno,58,36,3,52,4,43,3,37,3,50,4,52,4
6021,California,Glenn,58,44,3,41,3,41,3,57,4,45,4,19,2
6023,California,Humboldt,58,47,4,26,2,44,3,27,2,29,2,29,2
6025,California,Imperial,58,31,3,40,3,48,4,54,4,58,4,51,4
6027,California,Inyo,58,45,4,45,4,28,2,36,3,21,2,2,1
6029,California,Kern,58,49,4,54,4,51,4,52,4,56,4,53,4
6031,California,Kings,58,26,2,39,3,55,4,47,4,49,4,48,4
6033,California,Lake,58,57,4,49,4,53,4,42,3,47,4,16,2
6035,California,Lassen,58,38,3,55,4,54,4,35,3,42,3,5,1
6037,California,Los Angeles,58,21,2,29,2,10,1,44,3,37,3,58,4
6039,California,Madera,58,32,3,51,4,49,4,48,4,51,4,46,4
6041,California,Marin,58,3,1,1,1,4,1,1,1,1,1,23,2
6043,California,Mariposa,58,35,3,31,3,40,3,46,4,33,3,9,1
6045,California,Mendocino,58,48,4,38,3,42,3,38,3,35,3,37,3
6047,California,Merced,58,34,3,48,4,50,4,56,4,57,4,47,4
6049,California,Modoc,58,56,4,53,4,46,4,53,4,48,4,4,1
6051,California,Mono,58,1,1,34,3,25,2,31,3,12,1,6,1
6053,California,Monterey,58,18,2,20,2,27,2,41,3,36,3,43,3
6055,California,Napa,58,7,1,5,1,9,1,17,2,14,1,34,3
6057,California,Nevada,58,25,2,13,1,18,2,8,1,10,1,10,1
6059,California,Orange,58,5,1,6,1,6,1,14,1,11,1,38,3
6061,California,Placer,58,6,1,2,1,8,1,2,1,3,1,24,2
6063,California,Plumas,58,54,4,56,4,33,3,30,3,31,3,44,3
6065,California,Riverside,58,22,2,37,3,31,3,45,4,30,3,56,4
6067,California,Sacramento,58,24,2,28,2,22,2,24,2,24,2,42,3
6069,California,San Benito,58,17,2,23,2,19,2,28,2,20,2,41,3
6071,California,San Bernardino,58,39,3,47,4,38,3,51,4,32,3,57,4
